iter	Passed	Remaining
436	1417	1826
437	1420	1822
438	1423	1819
439	1427	1817
440	1431	1814
441	1434	1811
442	1438	1808
443	1442	1805
444	1446	1804
445	1449	1800
446	1452	1796
447	1455	1793
448	1459	1791
449	1463	1788
450	1468	1787
451	1472	1785
452	1478	1785
453	1481	1781
454	1485	1779
455	1491	1779
456	1495	1777
457	1499	1775
458	1505	1774
459	1509	1772
460	1513	1769
461	1517	1767
462	1524	1768
463	1529	1766
464	1533	1764
465	1538	1762
466	1541	1759
467	1548	1760
468	1555	1761
469	1561	1760
470	1568	1761
471	1572	1758
472	1576	1756
473	1580	1754
474	1585	1751
475	1588	1748
476	1591	1745
477	1594	1741
478	1598	1738
479	1601	1734
480	1605	1732
481	1609	1729
482	1615	1729
483	1619	1726
484	1622	1723
485	1626	1719
486	1629	1716
487	1632	1713
488	1636	1709
489	1639	1706
490	1642	1702
491	1645	1699
492	1648	1695
493	1651	1691
494	1653	1687
495	1657	1683
496	1660	1680
497	1663	1676
498	1666	1672
499	1669	1669
500	1672	1666
501	1676	1663
502	1680	1660
503	1683	1657
504	1687	1653
505	1691	1651
506	1695	1648
507	1700	1647
508	1705	1644
509	1708	1641
510	1713	1639
511	1717	1636
512	1721	1634
513	1725	1631
514	1728	1627
515	1732	1624
516	1735	1621
517	1738	1617
518	1741	1613
519	1744	1610
520	1747	1606
521	1750	1603
522	1753	1599
523	1756	1595
524	1759	1591
525	1761	1586
526	1764	1583
527	1766	1579
528	1769	1575
529	1772	1572
530	1775	1568
531	1779	1565
532	1782	1561
533	1784	1557
534	1787	1553
535	1790	1550
536	1793	1546
537	1797	1543
538	1799	1539
539	1803	1536
540	1806	1532
541	1809	1529
542	1812	1525
543	1815	1522
544	1818	1518
545	1821	1514
546	1824	1511
547	1827	1507
548	1830	1503
549	1833	1500
550	1836	1496
551	1839	1493
552	1842	1489
553	1845	1485
554	1848	1481
555	1849	1477
556	1853	1474
557	1856	1470
558	1859	1467
559	1862	1463
560	1865	1459
561	1868	1456
562	1871	1452
563	1874	1449
564	1877	1445
565	1880	1442
566	1883	1438
567	1886	1434
568	1889	1431
569	1892	1427
570	1894	1423
571	1897	1419
572	1901	1416
573	1904	1413
574	1908	1410
575	1910	1406
576	1913	1402
577	1916	1399
578	1919	1395
579	1922	1392
580	1925	1388
581	1929	1385
582	1933	1383
583	1937	1380
584	1941	1376
585	1944	1373
586	1950	1372
587	1954	1369
588	1958	1366
589	1962	1363
590	1965	1360
591	1967	1356
592	1971	1352
593	1974	1349
594	1979	1347
595	1982	1343
596	1985	1340
597	1988	1336
598	1991	1333
599	1994	1329
600	1998	1326
601	2001	1322
602	2004	1319
603	2007	1315
604	2012	1313
605	2015	1310
606	2018	1307
607	2021	1303
608	2025	1300
609	2028	1296
610	2031	1293
611	2034	1289
612	2038	1286
613	2041	1283
614	2045	1280
615	2048	1277
616	2052	1273
617	2056	1271
618	2059	1267
619	2063	1264
620	2067	1261
621	2070	1258
622	2074	1255
623	2077	1251
624	2080	1248
625	2083	1244
626	2086	1241
627	2090	1238
628	2093	1234
629	2096	1231
630	2099	1227
631	2102	1224
632	2105	1220
633	2109	1217
634	2112	1214
635	2115	1210
636	2118	1207
637	2121	1203
638	2124	1200
639	2127	1196
640	2132	1194
641	2135	1190
642	2138	1187
643	2141	1183
644	2144	1180
645	2147	1176
646	2150	1173
647	2153	1169
648	2156	1166
649	2159	1162
650	2162	1159
651	2165	1155
652	2168	1152
653	2171	1148
654	2174	1145
655	2176	1141
656	2179	1138
657	2182	1134
658	2185	1131
659	2188	1127
660	2191	1123
661	2194	1120
662	2197	1117
663	2200	1113
664	2204	1110
665	2208	1107
666	2213	1105
667	2216	1101
668	2220	1098
669	2223	1095
670	2226	1091
671	2229	1088
672	2232	1084
673	2235	1081
674	2237	1077
675	2240	1073
676	2243	1070
677	2246	1066
678	2249	1063
679	2251	1059
680	2254	1056
681	2257	1052
682	2260	1049
683	2263	1045
684	2266	1042
685	2269	1038
686	2273	1035
687	2276	1032
688	2279	1028
689	2282	1025
690	2285	1022
691	2288	1018
692	2291	1015
693	2294	1011
694	2297	1008
695	2300	1004
696	2303	1001
697	2307	998
698	2310	995
699	2313	991
700	2317	988
701	2321	985
702	2324	981
703	2327	978
704	2329	974
705	2332	971
706	2335	968
707	2338	964
708	2341	961
709	2344	957
710	2347	954
711	2350	950
712	2353	947
713	2356	943
714	2359	940
715	2362	937
716	2365	933
717	2368	930
718	2371	926
719	2373	923
720	2376	919
721	2379	916
722	2382	912
723	2384	909
724	2387	905
725	2389	901
726	2392	898
727	2394	894
728	2398	891
729	2400	888
730	2404	884
731	2407	881
732	2410	878
733	2413	874
734	2416	871
735	2419	867
736	2421	864
737	2424	860
738	2427	857
739	2430	853
740	2433	850
741	2435	846
742	2438	843
743	2440	839
744	2443	836
745	2446	833
746	2449	829
747	2451	825
748	2454	822
749	2456	818
750	2460	815
751	2463	812
752	2466	809
753	2469	805
754	2472	802
755	2475	798
756	2478	795
757	2480	792
758	2483	788
759	2486	785
760	2490	782
761	2494	779
762	2497	775
763	2500	772
764	2503	769
765	2506	765
766	2509	762
767	2512	758
768	2514	755
769	2517	752
770	2520	748
771	2524	745
772	2528	742
773	2532	739
774	2535	736
775	2539	733
776	2542	729
777	2545	726
778	2548	722
779	2550	719
780	2554	716
781	2557	712
782	2559	709
783	2562	706
784	2565	702
785	2569	699
786	2571	696
787	2574	692
788	2577	689
789	2580	686
790	2584	682
791	2589	680
792	2596	677
793	2602	675
794	2605	671
795	2608	668
796	2611	665
797	2614	661
798	2617	658
799	2620	655
800	2623	651
801	2625	648
802	2628	644
803	2631	641
804	2634	638
805	2636	634
806	2639	631
807	2642	627
808	2645	624
809	2647	621
810	2649	617
811	2652	614
812	2655	610
813	2657	607
814	2660	603
815	2663	600
816	2666	597
817	2668	593
818	2671	590
819	2674	586
820	2676	583
821	2679	580
822	2682	576
823	2684	573
824	2687	569
825	2689	566
826	2693	563
827	2695	559
828	2698	556
829	2701	553
830	2703	549
831	2706	546
832	2709	543
833	2711	539
834	2714	536
835	2717	533
836	2719	529
837	2722	526
838	2725	523
839	2728	519
840	2731	516
841	2734	513
842	2736	509
843	2739	506
844	2742	503
845	2744	499
846	2747	496
847	2750	492
848	2752	489
849	2755	486
850	2758	483
851	2761	479
852	2764	476
853	2766	472
854	2770	469
855	2772	466
856	2775	463
857	2778	459
858	2781	456
859	2784	453
860	2787	450
861	2790	446
862	2793	443
863	2796	440
864	2799	436
865	2802	433
866	2805	430
867	2808	427
868	2811	423
869	2814	420
870	2816	417
871	2819	413
872	2822	410
873	2824	407
874	2827	403
875	2830	400
876	2833	397
877	2836	394
878	2839	390
879	2842	387
880	2844	384
881	2848	381
882	2850	377
883	2853	374
884	2856	371
885	2858	367
886	2862	364
887	2865	361
888	2867	358
889	2870	354
890	2872	351
891	2875	348
892	2878	344
893	2881	341
894	2884	338
895	2887	335
896	2889	331
897	2892	328
898	2895	325
899	2898	322
900	2900	318
901	2903	315
902	2906	312
903	2909	308
904	2912	305
905	2914	302
906	2917	299
907	2920	295
908	2922	292
909	2926	289
910	2929	286
911	2932	282
912	2935	279
913	2938	276
914	2942	273
915	2946	270
916	2949	266
917	2952	263
918	2955	260
919	2959	257
920	2962	254
921	2965	250
922	2968	247
923	2971	244
924	2974	241
925	2977	237
926	2980	234
927	2983	231
928	2989	228
929	2993	225
930	2997	222
931	3000	218
932	3003	215
933	3007	212
934	3010	209
935	3013	206
936	3016	202
937	3022	199
938	3025	196
939	3028	193
940	3031	190
941	3035	186
942	3038	183
943	3041	180
944	3045	177
945	3048	173
946	3051	170
947	3054	167
948	3057	164
949	3059	161
950	3062	157
951	3065	154
952	3068	151
953	3071	148
954	3074	144
955	3076	141
956	3080	138
957	3084	135
958	3088	132
959	3091	128
960	3095	125
961	3098	122
962	3101	119
963	3105	115
964	3108	112
965	3112	109
966	3115	106
967	3118	103
968	3121	99
969	3124	96
970	3128	93
971	3130	90
972	3133	86
973	3136	83
974	3139	80
975	3142	77
976	3145	74
977	3148	70
978	3150	67
979	3153	64
980	3156	61
981	3160	57
982	3163	54
983	3166	51
984	3168	48
985	3171	45
986	3175	41
987	3178	38
988	3181	35
989	3184	32
990	3187	28
991	3190	25
992	3193	22
993	3197	19
994	3201	16
995	3205	12
996	3208	9
997	3211	6
998	3214	3
999	3217	0
