iter	Logloss
0	0.6846131035
1	0.6763576993
2	0.6683204868
3	0.6602892442
4	0.652494324
5	0.645025703
6	0.6391238372
7	0.6314041317
8	0.6246732471
9	0.6173403316
10	0.6105474945
11	0.6031316191
12	0.5999488026
13	0.5932726238
14	0.5891557709
15	0.5823296014
16	0.5764574389
17	0.5736464413
18	0.5686288301
19	0.5628924489
20	0.5575050512
21	0.5519973893
22	0.547076623
23	0.5422876766
24	0.537322926
25	0.5318000632
26	0.5259796665
27	0.52087877
28	0.5166171607
29	0.5115069713
30	0.5074203864
31	0.5028522875
32	0.4981132288
33	0.4933436994
34	0.4907797908
35	0.4863529493
36	0.4822785323
37	0.4775249917
38	0.4735409454
39	0.4696036154
40	0.4660087238
41	0.4624465951
42	0.4591862408
43	0.4562319964
44	0.45295228
45	0.4498463289
46	0.4460792935
47	0.4426393683
48	0.4392136749
49	0.436226006
50	0.4332199437
51	0.4301455815
52	0.4274755173
53	0.424321167
54	0.4217220999
55	0.4184488011
56	0.4163376133
57	0.4135446614
58	0.4106024034
59	0.4080074725
60	0.405382014
61	0.4027376136
62	0.3999785245
63	0.3978105429
64	0.3958461799
65	0.39363855
66	0.3910344448
67	0.3902967103
68	0.3879975828
69	0.3862499586
70	0.3842552135
71	0.3821260413
72	0.3801666167
73	0.3780374664
74	0.3757124431
75	0.3736507095
76	0.372162807
77	0.3699773118
78	0.3681941811
79	0.3669663485
80	0.3647267533
81	0.3631274314
82	0.3612486748
83	0.3595699
84	0.357832589
85	0.3568060891
86	0.3551089452
87	0.3535277509
88	0.3517093196
89	0.3500724096
90	0.3482392974
91	0.3463842759
92	0.3453309074
93	0.3440686969
94	0.3428038875
95	0.3418504129
96	0.3407625621
97	0.3393048297
98	0.3373973081
99	0.3363401342
100	0.3349404509
101	0.3334730858
102	0.3327251727
103	0.3319209461
104	0.3304963142
105	0.3289775625
106	0.3276645123
107	0.3268897974
108	0.3259712144
109	0.324769607
110	0.323659256
111	0.3224406945
112	0.3213251379
113	0.3202548011
114	0.3193296375
115	0.3185427183
116	0.3174924056
117	0.3161196873
118	0.3152819972
119	0.3141962599
120	0.3133150151
121	0.3124276129
122	0.3112558533
123	0.3106325545
124	0.3095610156
125	0.3086372788
126	0.3077104398
127	0.3067732028
128	0.3058007403
129	0.3051300748
130	0.3043300888
131	0.3031838798
132	0.3021139932
133	0.3017345817
134	0.3008134187
135	0.2999624117
136	0.2990691363
137	0.2981506815
138	0.2974958727
139	0.2966191965
140	0.2958471437
141	0.2948747194
142	0.2940282083
143	0.2929785737
144	0.2923209376
145	0.291576366
146	0.2911648497
147	0.2903530239
148	0.289579079
149	0.2888103556
150	0.2880739102
151	0.2876426264
152	0.286945113
153	0.2865668412
154	0.2856206716
155	0.2851462776
156	0.2844478019
157	0.2838681887
158	0.2831019002
159	0.2823166073
160	0.2816122781
161	0.2808811242
162	0.2799613473
163	0.2794555016
164	0.2787518778
165	0.277987429
166	0.2771810935
167	0.276408797
168	0.2758457057
169	0.2751579303
170	0.2744711309
171	0.2740958535
172	0.2740123926
173	0.2733492751
174	0.2727330505
175	0.2722468986
176	0.2716943473
177	0.2711605169
178	0.2706845642
179	0.269657313
180	0.2690060569
181	0.2684219478
182	0.2678387493
183	0.2672322795
184	0.2665133869
185	0.2658303094
186	0.2654516927
187	0.2649417637
188	0.2648552816
189	0.2643962932
190	0.2640342027
191	0.2635459307
192	0.263484159
193	0.2629321476
194	0.2622404245
195	0.2618604843
196	0.2612502914
197	0.2606996899
198	0.2601326518
199	0.2595192515
200	0.2589894598
201	0.2584775111
202	0.2579631464
203	0.2576617274
204	0.2571625232
205	0.2568700246
206	0.2565597167
207	0.2558896062
208	0.2554203686
209	0.254979537
210	0.2545838478
211	0.2541757363
212	0.2536930242
213	0.2533861218
214	0.2530032552
215	0.2524790011
216	0.2522527013
217	0.251991022
218	0.251181157
219	0.2508622458
220	0.250518249
221	0.2501029582
222	0.24968196
223	0.2492158016
224	0.2488052395
225	0.2485674593
226	0.24817303
227	0.2477474059
228	0.2474104785
229	0.2469862341
230	0.246420522
231	0.2458103065
232	0.2455067332
233	0.2450605017
234	0.2447316765
235	0.2441560027
236	0.2437790197
237	0.2436820267
238	0.24313112
239	0.2425902569
240	0.2422891359
241	0.2419266282
242	0.2411372231
243	0.2407927761
244	0.2404072602
245	0.240118445
246	0.2395972509
247	0.2392933617
248	0.2389604204
249	0.2386061434
250	0.238086485
251	0.2377255485
252	0.2373705566
253	0.237233603
254	0.236809612
255	0.2364709831
256	0.2358951664
257	0.2356149961
258	0.2351943311
259	0.2347653876
260	0.2344868581
261	0.234074917
262	0.2336364431
263	0.2333047161
264	0.2327781129
265	0.2323849466
266	0.2320756535
267	0.2317117245
268	0.2314442388
269	0.2310171709
270	0.2307635436
271	0.2304785359
272	0.2301373576
273	0.2300797218
274	0.2295685894
275	0.2292183143
276	0.2289774858
277	0.2286768861
278	0.228426636
279	0.2280453481
280	0.2278010287
281	0.2274825173
282	0.2270968147
283	0.2267509635
284	0.2264064396
285	0.2262607946
286	0.2260285385
287	0.2257052647
288	0.2254107724
289	0.2251401602
290	0.2247215504
291	0.2243682256
292	0.2241840158
293	0.2239984404
294	0.223812846
295	0.2236196704
296	0.223342095
297	0.2230232452
298	0.2225997046
299	0.2223613213
300	0.2219621158
301	0.2218230754
302	0.2215887913
303	0.2214201527
304	0.2212325152
305	0.2209943347
306	0.220768296
307	0.2205482892
308	0.2203315874
309	0.2199645996
310	0.2197958088
311	0.2196199254
312	0.2193356514
313	0.2190494664
314	0.2187808433
315	0.2184916211
316	0.2181829123
317	0.2178610391
318	0.2176453545
319	0.2173559431
320	0.2170536806
321	0.2167143612
322	0.2164823316
323	0.2163207905
324	0.215990601
325	0.2156382099
326	0.2153247969
327	0.215227637
328	0.2149542368
329	0.2145972353
330	0.2143429749
331	0.2143261777
332	0.2140383371
333	0.2139250022
334	0.2136772349
335	0.2135340285
336	0.2132694052
337	0.2130393963
338	0.2128554529
339	0.2127129632
340	0.2123283664
341	0.2120934725
342	0.2117808832
343	0.2116337365
344	0.2113459846
345	0.2111567955
346	0.2107232107
347	0.2103386568
348	0.209952273
349	0.2096909688
350	0.2094305779
351	0.2093814867
352	0.2091956223
353	0.2090199892
354	0.2087161086
355	0.2085876951
356	0.2083175125
357	0.2080279217
358	0.2077643875
359	0.2074589322
360	0.2074208073
361	0.2073778709
362	0.2072009508
363	0.2069910048
364	0.2065400489
365	0.2063511058
366	0.2061389302
367	0.2058277944
368	0.2056173275
369	0.2052949937
370	0.2049526769
371	0.2047320854
372	0.2042984358
373	0.2039309247
374	0.2037301999
375	0.2036754289
376	0.2033233213
377	0.2030228275
378	0.2028568659
379	0.2027097634
380	0.202505422
381	0.2022670252
382	0.2017857696
383	0.2015067329
384	0.2013416488
385	0.20113936
386	0.2008192195
387	0.2006481397
388	0.2004919168
389	0.2003781308
390	0.2001816415
391	0.2000425576
392	0.1998125173
393	0.1996153311
394	0.1994388717
395	0.1992747619
396	0.1989055816
397	0.1986315421
398	0.1985015455
399	0.1983441599
400	0.1980979156
401	0.1976856988
402	0.1974394573
403	0.1972932403
404	0.1970902463
405	0.1967308438
406	0.1965372867
407	0.1964577563
408	0.1962825443
409	0.1960774758
410	0.1959070474
411	0.1957247886
412	0.1952789268
413	0.1951057422
414	0.1949999685
415	0.194839929
416	0.1945759815
417	0.1943835397
418	0.194092515
419	0.193933306
420	0.1937200162
421	0.193697264
422	0.193585195
423	0.1934618218
424	0.1931660279
425	0.1929145301
426	0.1927831823
427	0.1925987186
428	0.1923676317
429	0.1922072464
430	0.1920312581
431	0.1919121204
432	0.1916580455
433	0.1914864287
434	0.1912609572
435	0.190939504
436	0.1908251155
437	0.1907576736
438	0.1907041047
439	0.1906118224
440	0.1903193536
441	0.1901875485
442	0.1900039301
443	0.1898086202
444	0.1895396815
445	0.1893770687
446	0.1891026162
447	0.1888713562
448	0.1887140592
449	0.1885884057
450	0.1884069122
451	0.1882590864
452	0.188134614
453	0.1880336377
454	0.1878924303
455	0.1877034822
456	0.1876136078
457	0.1873586574
458	0.1871912954
459	0.1870211013
460	0.1868915612
461	0.1866838919
462	0.1866084226
463	0.1863331262
464	0.1860655424
465	0.1857514699
466	0.1856162383
467	0.185359902
468	0.1851379536
469	0.1850424902
470	0.1849763981
471	0.1846695026
472	0.1843624957
473	0.1841148608
474	0.1839824407
475	0.1839113581
476	0.183876028
477	0.1837018293
478	0.1835492036
479	0.1833876315
480	0.1831876506
481	0.1830957599
482	0.1830575582
483	0.1828187557
484	0.1827760669
485	0.1825644546
486	0.1823767119
487	0.1821380322
488	0.1820322401
489	0.181880228
490	0.1818390096
491	0.1814036317
492	0.1812873631
493	0.1810799537
494	0.1809362842
495	0.1808092789
496	0.1806818858
497	0.1804940492
498	0.1802906504
499	0.1800496509
500	0.1799532326
501	0.1798020485
502	0.1796721082
503	0.1794917375
504	0.1792039152
505	0.1790980637
506	0.1789267359
507	0.1787023422
508	0.178560388
509	0.1783783113
510	0.1781301244
511	0.1778913227
512	0.1777126205
513	0.1775856439
514	0.1773814699
515	0.1772913511
516	0.1771304524
517	0.177063906
518	0.1770143563
519	0.1768327777
520	0.1766140798
521	0.1764189759
522	0.1763290737
523	0.176255067
524	0.176174868
525	0.1761717808
526	0.1761239352
527	0.1760085233
528	0.1757516168
529	0.1756817558
530	0.1753828809
531	0.1751702479
532	0.1750558097
533	0.1748685963
534	0.1747922118
535	0.1746477969
536	0.1744920931
537	0.1743591444
538	0.1742505573
539	0.1741132593
540	0.1740131119
541	0.1737468089
542	0.1734534508
543	0.173274671
544	0.1730475202
545	0.1728989102
546	0.1728480037
547	0.1727443745
548	0.1724947201
549	0.1721958242
550	0.1718632963
551	0.1716809615
552	0.1714349945
553	0.1712110303
554	0.1710276053
555	0.1710117893
556	0.1709007896
557	0.1707293401
558	0.1706116714
559	0.1705382889
560	0.1703262015
561	0.170177675
562	0.1698998613
563	0.169830558
564	0.1697892532
565	0.1694075562
566	0.1692680139
567	0.1691060016
568	0.1690148095
569	0.1688747516
570	0.1688573759
571	0.1686518618
572	0.168539305
573	0.1683294718
574	0.1681768228
575	0.1680802503
576	0.1680011549
577	0.1679118629
578	0.1678283387
579	0.1676522579
580	0.1673748295
581	0.1671939071
582	0.1670100885
583	0.1669209578
584	0.1668514611
585	0.1666922426
586	0.1665137004
587	0.1662946396
588	0.166242005
589	0.1661075444
590	0.1659207099
591	0.1659061305
592	0.1657962111
593	0.1657479901
594	0.1656175169
595	0.1654561798
596	0.1652565033
597	0.1650132799
598	0.1648268105
599	0.1646201748
600	0.164408385
601	0.1642091868
602	0.1641186089
603	0.1639258454
604	0.1637717371
605	0.1636838998
606	0.1635790214
607	0.1634430588
608	0.1632327731
609	0.163197865
610	0.1630550384
611	0.1628972019
612	0.1627542453
613	0.1626207452
614	0.1624584153
615	0.1623096109
616	0.1621271773
617	0.1618884437
618	0.16164997
619	0.1614502468
620	0.1612085491
621	0.1611564477
622	0.1609504603
623	0.1609216464
624	0.1607270949
625	0.160593035
626	0.1604791251
627	0.1603589804
628	0.1602472085
629	0.1600502277
630	0.1598769335
631	0.159756868
632	0.159617845
633	0.1594584087
634	0.1593288171
635	0.1592002488
636	0.159142702
637	0.1590584845
638	0.1589534006
639	0.1587708454
640	0.1586313102
641	0.1584685905
642	0.1582503787
643	0.1580686128
644	0.157942094
645	0.1577858343
646	0.1575855633
647	0.1575109606
648	0.157280388
649	0.1571852626
650	0.1571001215
651	0.1568518818
652	0.1568026873
653	0.1566211688
654	0.1564753742
655	0.1563845697
656	0.1562791399
657	0.1560019533
658	0.1557644859
659	0.1556230103
660	0.1554999454
661	0.15537718
662	0.1552213185
663	0.1551578272
664	0.1550023888
665	0.1548622729
666	0.154758418
667	0.1546013482
668	0.1544422671
669	0.154305412
670	0.1542307034
671	0.1540664399
672	0.1538785743
673	0.1537999936
674	0.1537789368
675	0.1536600302
676	0.1534562764
677	0.1533273791
678	0.1530962957
679	0.152927035
680	0.1528928307
681	0.1527166113
682	0.1523970074
683	0.152293856
684	0.1521664456
685	0.1521007833
686	0.1518409726
687	0.1516785963
688	0.151656728
689	0.1515812233
690	0.1514719711
691	0.1513413713
692	0.1511707449
693	0.1509851104
694	0.1507818146
695	0.1506501628
696	0.1505187462
697	0.1503265487
698	0.1501268446
699	0.1500406571
700	0.1499520587
701	0.149808957
702	0.1496268631
703	0.1494964318
704	0.1493440096
705	0.1492048289
706	0.149164415
707	0.1490586147
708	0.1489362063
709	0.1487510148
710	0.1485559696
711	0.1484060702
712	0.1482322253
713	0.1480880358
714	0.1478674573
715	0.1477604797
716	0.1476527409
717	0.1473582089
718	0.1473267864
719	0.1471171927
720	0.1468653084
721	0.1467569004
722	0.1467217997
723	0.1464536219
724	0.1464185305
725	0.1461248043
726	0.1460986469
727	0.1459261213
728	0.1458273127
729	0.1456643755
730	0.1455528804
731	0.1455116785
732	0.1453343984
733	0.1452919911
734	0.1451723716
735	0.1450591431
736	0.144996989
737	0.1449071979
738	0.1447393815
739	0.144601913
740	0.1444280508
741	0.1443624477
742	0.1442286837
743	0.1441422238
744	0.1439838
745	0.1438438386
746	0.1436850046
747	0.1436108585
748	0.1434101038
749	0.1432541225
750	0.1431419502
751	0.1429766735
752	0.1428846948
753	0.1427157915
754	0.142629803
755	0.1425100193
756	0.1423620145
757	0.142160695
758	0.1421408586
759	0.1419107999
760	0.1418340064
761	0.1416748317
762	0.1415045327
763	0.1413293384
764	0.1411373723
765	0.1409463061
766	0.1408316452
767	0.1406958361
768	0.140629374
769	0.140527485
770	0.1403685183
771	0.1402839989
772	0.1401617739
773	0.1401354638
774	0.1399611743
775	0.1398632556
776	0.1397379356
777	0.1396483417
778	0.1395197165
779	0.1395035371
780	0.1394137809
781	0.1392108566
782	0.1391165127
783	0.1389327911
784	0.1388158514
785	0.1387299406
786	0.1385519597
787	0.1384779218
788	0.1384274184
789	0.1384069822
790	0.1383585794
791	0.1382455807
792	0.1380298751
793	0.1378816495
794	0.1376529216
795	0.1375441254
796	0.13742001
797	0.1372675876
798	0.1371755674
799	0.137066239
800	0.1370000644
801	0.136893239
802	0.1366857757
803	0.1365685662
804	0.136450159
805	0.1363664274
806	0.1362840971
807	0.1361656482
808	0.1360904914
809	0.1359850048
810	0.1359788433
811	0.1359229093
812	0.1358419293
813	0.1357836461
814	0.1356901403
815	0.1355258757
816	0.1353406337
817	0.135279545
818	0.1350445375
819	0.1349159116
820	0.1347921302
821	0.1345142534
822	0.1344556875
823	0.1343128813
824	0.1342384341
825	0.1341387236
826	0.1340696772
827	0.1340517281
828	0.1338259626
829	0.1336712559
830	0.1335708545
831	0.1334935092
832	0.1334490274
833	0.1332066157
834	0.1330987567
835	0.1329795678
836	0.1329610453
837	0.1328539954
838	0.1326830681
839	0.1326446509
840	0.1325699416
841	0.1324062092
842	0.1323275696
843	0.1321441199
844	0.1319495018
845	0.1318573982
846	0.1317924075
847	0.1315891623
848	0.1314628536
849	0.1313056315
850	0.1311896157
851	0.1311083183
852	0.1309860442
853	0.1309270241
854	0.1306786257
855	0.1305285821
856	0.1303575655
857	0.1302013989
858	0.1300878072
859	0.1299873668
860	0.1298579398
861	0.1297215301
862	0.1296069219
863	0.1293713618
864	0.1292330847
865	0.1291931053
866	0.1290332412
867	0.1289465974
868	0.1288994579
869	0.1288079479
870	0.1287838178
871	0.1286102292
872	0.1285528027
